"STATISTIC","Statistic","TLIST(A1)","Year","C02076V02508","Age","C02447V03042","School Programme","UNIT","VALUE"
"EDA42","Primary Pupils","2001","2001","005","5 years","112","Senior infants","Number","22358"
"EDA42","Primary Pupils","2001","2001","005","5 years","113","1st class","Number","296"
"EDA42","Primary Pupils","2001","2001","005","5 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2001","2001","005","5 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2001","2001","005","5 years","116","4th class","Number",""
"EDA42","Primary Pupils","2001","2001","005","5 years","117","5th class","Number",""
"EDA42","Primary Pupils","2001","2001","005","5 years","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","005","5 years","121","Pupils with special needs in mainstream national schools","Number","747"
"EDA42","Primary Pupils","2001","2001","005","5 years","122","Pupils in special national schools","Number","181"
"EDA42","Primary Pupils","2001","2001","005","5 years","130","Pupils in private primary schools","Number","497"
"EDA42","Primary Pupils","2001","2001","006","6 years","1","All first level school programmes","Number","51318"
"EDA42","Primary Pupils","2001","2001","006","6 years","11","All mainstream national school programmes","Number","49617"
"EDA42","Primary Pupils","2001","2001","006","6 years","110","All first level education institutions aided by the Department of Education and Skills","Number","50779"
"EDA42","Primary Pupils","2001","2001","006","6 years","111","Junior infants","Number","707"
"EDA42","Primary Pupils","2001","2001","006","6 years","112","Senior infants","Number","27550"
"EDA42","Primary Pupils","2001","2001","006","6 years","113","1st class","Number","21030"
"EDA42","Primary Pupils","2001","2001","006","6 years","114","2nd class","Number","330"
"EDA42","Primary Pupils","2001","2001","006","6 years","115","3rd class","Number",""
"EDA42","Primary Pupils","2001","2001","006","6 years","116","4th class","Number",""
"EDA42","Primary Pupils","2001","2001","006","6 years","117","5th class","Number",""
"EDA42","Primary Pupils","2001","2001","006","6 years","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","006","6 years","121","Pupils with special needs in mainstream national schools","Number","909"
"EDA42","Primary Pupils","2001","2001","006","6 years","122","Pupils in special national schools","Number","253"
"EDA42","Primary Pupils","2001","2001","006","6 years","130","Pupils in private primary schools","Number","539"
"EDA42","Primary Pupils","2001","2001","007","7 years","1","All first level school programmes","Number","52103"
"EDA42","Primary Pupils","2001","2001","007","7 years","11","All mainstream national school programmes","Number","50328"
"EDA42","Primary Pupils","2001","2001","007","7 years","110","All first level education institutions aided by the Department of Education and Skills","Number","51562"
"EDA42","Primary Pupils","2001","2001","007","7 years","111","Junior infants","Number","16"
"EDA42","Primary Pupils","2001","2001","007","7 years","112","Senior infants","Number","967"
"EDA42","Primary Pupils","2001","2001","007","7 years","113","1st class","Number","27957"
"EDA42","Primary Pupils","2001","2001","007","7 years","114","2nd class","Number","21091"
"EDA42","Primary Pupils","2001","2001","007","7 years","115","3rd class","Number","297"
"EDA42","Primary Pupils","2001","2001","007","7 years","116","4th class","Number",""
"EDA42","Primary Pupils","2001","2001","007","7 years","117","5th class","Number",""
"EDA42","Primary Pupils","2001","2001","007","7 years","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","007","7 years","121","Pupils with special needs in mainstream national schools","Number","923"
"EDA42","Primary Pupils","2001","2001","007","7 years","122","Pupils in special national schools","Number","311"
"EDA42","Primary Pupils","2001","2001","007","7 years","130","Pupils in private primary schools","Number","541"
"EDA42","Primary Pupils","2001","2001","008","8 years","1","All first level school programmes","Number","54595"
"EDA42","Primary Pupils","2001","2001","008","8 years","11","All mainstream national school programmes","Number","52515"
"EDA42","Primary Pupils","2001","2001","008","8 years","110","All first level education institutions aided by the Department of Education and Skills","Number","53971"
"EDA42","Primary Pupils","2001","2001","008","8 years","111","Junior infants","Number","3"
"EDA42","Primary Pupils","2001","2001","008","8 years","112","Senior infants","Number","21"
"EDA42","Primary Pupils","2001","2001","008","8 years","113","1st class","Number","1461"
"EDA42","Primary Pupils","2001","2001","008","8 years","114","2nd class","Number","28646"
"EDA42","Primary Pupils","2001","2001","008","8 years","115","3rd class","Number","21896"
"EDA42","Primary Pupils","2001","2001","008","8 years","116","4th class","Number","455"
"EDA42","Primary Pupils","2001","2001","008","8 years","117","5th class","Number","33"
"EDA42","Primary Pupils","2001","2001","008","8 years","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","008","8 years","121","Pupils with special needs in mainstream national schools","Number","1047"
"EDA42","Primary Pupils","2001","2001","008","8 years","122","Pupils in special national schools","Number","409"
"EDA42","Primary Pupils","2001","2001","008","8 years","130","Pupils in private primary schools","Number","624"
"EDA42","Primary Pupils","2001","2001","009","9 years","1","All first level school programmes","Number","56281"
"EDA42","Primary Pupils","2001","2001","009","9 years","11","All mainstream national school programmes","Number","54005"
"EDA42","Primary Pupils","2001","2001","009","9 years","110","All first level education institutions aided by the Department of Education and Skills","Number","55633"
"EDA42","Primary Pupils","2001","2001","009","9 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","009","9 years","112","Senior infants","Number","3"
"EDA42","Primary Pupils","2001","2001","009","9 years","113","1st class","Number","66"
"EDA42","Primary Pupils","2001","2001","009","9 years","114","2nd class","Number","1626"
"EDA42","Primary Pupils","2001","2001","009","9 years","115","3rd class","Number","30059"
"EDA42","Primary Pupils","2001","2001","009","9 years","116","4th class","Number","21777"
"EDA42","Primary Pupils","2001","2001","009","9 years","117","5th class","Number","474"
"EDA42","Primary Pupils","2001","2001","009","9 years","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","009","9 years","121","Pupils with special needs in mainstream national schools","Number","1162"
"EDA42","Primary Pupils","2001","2001","009","9 years","122","Pupils in special national schools","Number","466"
"EDA42","Primary Pupils","2001","2001","009","9 years","130","Pupils in private primary schools","Number","648"
"EDA42","Primary Pupils","2001","2001","010","10 years","1","All first level school programmes","Number","57036"
"EDA42","Primary Pupils","2001","2001","010","10 years","11","All mainstream national school programmes","Number","54659"
"EDA42","Primary Pupils","2001","2001","010","10 years","110","All first level education institutions aided by the Department of Education and Skills","Number","56354"
"EDA42","Primary Pupils","2001","2001","010","10 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","010","10 years","112","Senior infants","Number","2"
"EDA42","Primary Pupils","2001","2001","010","10 years","113","1st class","Number","8"
"EDA42","Primary Pupils","2001","2001","010","10 years","114","2nd class","Number","63"
"EDA42","Primary Pupils","2001","2001","010","10 years","115","3rd class","Number","1704"
"EDA42","Primary Pupils","2001","2001","010","10 years","116","4th class","Number","30666"
"EDA42","Primary Pupils","2001","2001","010","10 years","117","5th class","Number","21705"
"EDA42","Primary Pupils","2001","2001","010","10 years","118","6th class","Number","511"
"EDA42","Primary Pupils","2001","2001","010","10 years","121","Pupils with special needs in mainstream national schools","Number","1169"
"EDA42","Primary Pupils","2001","2001","010","10 years","122","Pupils in special national schools","Number","526"
"EDA42","Primary Pupils","2001","2001","010","10 years","130","Pupils in private primary schools","Number","682"
"EDA42","Primary Pupils","2001","2001","011","11 years","1","All first level school programmes","Number","55100"
"EDA42","Primary Pupils","2001","2001","011","11 years","11","All mainstream national school programmes","Number","52588"
"EDA42","Primary Pupils","2001","2001","011","11 years","110","All first level education institutions aided by the Department of Education and Skills","Number","54387"
"EDA42","Primary Pupils","2001","2001","011","11 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","011","11 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2001","2001","011","11 years","113","1st class","Number",""
"EDA42","Primary Pupils","2001","2001","011","11 years","114","2nd class","Number","9"
"EDA42","Primary Pupils","2001","2001","011","11 years","115","3rd class","Number","64"
"EDA42","Primary Pupils","2001","2001","011","11 years","116","4th class","Number","1650"
"EDA42","Primary Pupils","2001","2001","011","11 years","117","5th class","Number","29829"
"EDA42","Primary Pupils","2001","2001","011","11 years","118","6th class","Number","21036"
"EDA42","Primary Pupils","2001","2001","011","11 years","121","Pupils with special needs in mainstream national schools","Number","1230"
"EDA42","Primary Pupils","2001","2001","011","11 years","122","Pupils in special national schools","Number","569"
"EDA42","Primary Pupils","2001","2001","011","11 years","130","Pupils in private primary schools","Number","713"
"EDA42","Primary Pupils","2001","2001","012","12 years","1","All first level school programmes","Number","34150"
"EDA42","Primary Pupils","2001","2001","012","12 years","11","All mainstream national school programmes","Number","32252"
"EDA42","Primary Pupils","2001","2001","012","12 years","110","All first level education institutions aided by the Department of Education and Skills","Number","33885"
"EDA42","Primary Pupils","2001","2001","012","12 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","012","12 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2001","2001","012","12 years","113","1st class","Number",""
"EDA42","Primary Pupils","2001","2001","012","12 years","114","2nd class","Number","1"
"EDA42","Primary Pupils","2001","2001","012","12 years","115","3rd class","Number","12"
"EDA42","Primary Pupils","2001","2001","012","12 years","116","4th class","Number","54"
"EDA42","Primary Pupils","2001","2001","012","12 years","117","5th class","Number","1931"
"EDA42","Primary Pupils","2001","2001","012","12 years","118","6th class","Number","30254"
"EDA42","Primary Pupils","2001","2001","012","12 years","121","Pupils with special needs in mainstream national schools","Number","1016"
"EDA42","Primary Pupils","2001","2001","012","12 years","122","Pupils in special national schools","Number","617"
"EDA42","Primary Pupils","2001","2001","012","12 years","130","Pupils in private primary schools","Number","265"
"EDA42","Primary Pupils","2001","2001","013","13 years","1","All first level school programmes","Number","3424"
"EDA42","Primary Pupils","2001","2001","013","13 years","11","All mainstream national school programmes","Number","2396"
"EDA42","Primary Pupils","2001","2001","013","13 years","110","All first level education institutions aided by the Department of Education and Skills","Number","3380"
"EDA42","Primary Pupils","2001","2001","013","13 years","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","013","13 years","112","Senior infants","Number",""
"EDA42","Primary Pupils","2001","2001","013","13 years","113","1st class","Number",""
"EDA42","Primary Pupils","2001","2001","013","13 years","114","2nd class","Number",""
"EDA42","Primary Pupils","2001","2001","013","13 years","115","3rd class","Number","1"
"EDA42","Primary Pupils","2001","2001","013","13 years","116","4th class","Number","3"
"EDA42","Primary Pupils","2001","2001","013","13 years","117","5th class","Number","83"
"EDA42","Primary Pupils","2001","2001","013","13 years","118","6th class","Number","2309"
"EDA42","Primary Pupils","2001","2001","013","13 years","121","Pupils with special needs in mainstream national schools","Number","344"
"EDA42","Primary Pupils","2001","2001","013","13 years","122","Pupils in special national schools","Number","640"
"EDA42","Primary Pupils","2001","2001","013","13 years","130","Pupils in private primary schools","Number","44"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","1","All first level school programmes","Number","26108"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","11","All mainstream national school programmes","Number","24864"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","110","All first level education institutions aided by the Department of Education and Skills","Number","25440"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","111","Junior infants","Number","24576"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","112","Senior infants","Number","288"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","113","1st class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","114","2nd class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","115","3rd class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","116","4th class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","117","5th class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","118","6th class","Number",""
"EDA42","Primary Pupils","2001","2001","237","4 years and under","121","Pupils with special needs in mainstream national schools","Number","426"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","122","Pupils in special national schools","Number","150"
"EDA42","Primary Pupils","2001","2001","237","4 years and under","130","Pupils in private primary schools","Number","668"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","1","All first level school programmes","Number","3247"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","11","All mainstream national school programmes","Number","125"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","110","All first level education institutions aided by the Department of Education and Skills","Number","3246"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","111","Junior infants","Number",""
"EDA42","Primary Pupils","2001","2001","283","14 years and over","112","Senior infants","Number",""
"EDA42","Primary Pupils","2001","2001","283","14 years and over","113","1st class","Number",""
"EDA42","Primary Pupils","2001","2001","283","14 years and over","114","2nd class","Number",""
"EDA42","Primary Pupils","2001","2001","283","14 years and over","115","3rd class","Number",""
"EDA42","Primary Pupils","2001","2001","283","14 years and over","116","4th class","Number","1"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","117","5th class","Number","8"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","118","6th class","Number","116"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","121","Pupils with special needs in mainstream national schools","Number","119"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","122","Pupils in special national schools","Number","3002"
"EDA42","Primary Pupils","2001","2001","283","14 years and over","130","Pupils in private primary schools","Number","1"
"EDA42","Primary Pupils","2001","2001","-","All ages","1","All first level school programmes","Number","444782"
"EDA42","Primary Pupils","2001","2001","-","All ages","11","All mainstream national school programmes","Number","423344"
